country,Traditional vs Secular Values,Survival vs Self-expression Values,Neutrality,Fairness,Skeptisism,Societal Tranquility,Traditional vs Secular Values_Z,Survival vs Self-expression Values_Z,Neutrality_Z,Fairness_Z,Skeptisism_Z,Societal Tranquility_Z,Traditional vs Secular Values_Ranks,Survival vs Self-expression Values_Ranks,Neutrality_Ranks,Fairness_Ranks,Skeptisism_Ranks,Societal Tranquility_Ranks
Peru,0.3290988430331552,0.4858849357612587,0.0409814453761548,0.0493562713652477,0.0997063100754029,0.5787029383240075,0.58116226438259,-2.040687421049437,-1.0417878876071163,-0.5891593369570072,-1.944134717161611,0.9850715818187237,21.0,66.0,57.0,44.0,66.0,13.0
Philippines,0.359848690884379,0.5564521205346379,0.1049903878231859,0.2156126880636524,0.4380796881660643,0.6005343567251462,1.6631451398844563,0.11935035795358809,-0.09657472514218697,3.327673223171207,1.508495796893912,1.1562600666002334,1.0,24.0,36.0,1.0,5.0,11.0
,0.3516669612856092,0.5743333229431185,0.1540683229813664,0.0308237001714674,0.1713013171820617,0.5605601018433083,1.3752578189231808,0.6666879463858884,0.6281538600316834,-1.0257679185456023,-1.2136070746345988,0.8428066758148328,3.0,17.0,18.0,60.0,61.0,17.0
Romania,0.3317632008440989,0.5011612369643961,0.0494379448526904,0.0459629940461212,0.1918237477410317,0.4044069076541081,0.674911981116099,-1.5730849819245865,-0.9169116701908734,-0.6691015091331912,-1.0042041648362383,-0.38165012382434216,16.0,62.0,51.0,45.0,56.0,42.0
Russia,0.3183085829177189,0.5238826329583011,0.0235639283588365,0.1159956577859246,0.3169291501580617,0.5016166633622834,0.20148959986733503,-0.8775906966397725,-1.2989904863822779,0.9807970214370555,0.27232276614029305,0.3806086758510512,36.0,57.0,66.0,10.0,25.0,28.0
Singapore,0.2974858354994735,0.5486852966499898,0.0726317973501712,0.0333173756011842,0.4283232856284885,0.3925283091466583,-0.5311922734364892,-0.11838950750341933,-0.574410547210583,-0.9670194545075209,1.4089452551263573,-0.474794748807214,51.0,36.0,40.0,58.0,7.0,44.0
Serbia,0.305914935009098,0.5482531985811233,0.0445852556202334,0.1652911762088715,0.1951045758209895,0.4582027500543884,-0.2346008441246879,-0.1316158839839772,-0.9885708096879194,2.1421494399584833,-0.9707278694960135,0.040183610422103104,45.0,38.0,54.0,5.0,55.0,35.0
Slovakia,0.3110306066818032,0.5603663251538018,0.0787674706749897,0.1058967345137348,0.2322074421058498,0.352378445468717,-0.054597704813650956,0.23916284415796502,-0.48380571973663067,0.7428766314739705,-0.5921446339682244,-0.7896251551931072,40.0,20.0,37.0,12.0,43.0,49.0
Thailand,0.2438757262164697,0.5440304280283714,0.24344,0.0639150292783334,0.3695720519400732,0.3317312476833385,-2.4175502313242454,-0.2608734695784432,1.9478957935823298,-0.24616976601946924,0.8094704875910691,-0.9515277141069493,65.0,43.0,3.0,32.0,15.0,51.0
Tajikistan,0.3380810185185185,0.4934645061728394,0.1540541666666666,0.0973566666666666,0.4984903413455462,0.3599923611111111,0.8972145618422996,-1.8086793213894368,0.627944815256458,0.5416812943353124,2.124902636339834,-0.7299215363935287,8.0,65.0,19.0,17.0,3.0,48.0
Tunisia,0.3036386482208263,0.5413422690074917,0.050638017041383,0.0544239027622222,0.1741822047397659,0.6121477780885166,-0.3146956574895315,-0.3431571126019695,-0.8991903333698655,-0.469771080836916,-1.1842116170326495,1.247325336377707,48.0,44.0,49.0,42.0,60.0,8.0
Turkey,0.295339359298004,0.5455969634249398,0.036177807881701,0.0555630201375848,0.3914932101067281,0.5298285432413913,-0.606719492429538,-0.21292234825200962,-1.1127226853695558,-0.4429346307664096,1.0331454705838252,0.6018287945168429,52.0,40.0,59.0,39.0,13.0,23.0
Taiwan,0.2530003827964391,0.5794095462231221,0.1399427636958299,0.0446915599164168,0.3064870342973562,0.4732202234941401,-2.096484507287845,0.8220694327619605,0.4195632466979818,-0.6990552077403153,0.16577547197841205,0.15794135186429825,61.0,12.0,23.0,47.0,27.0,33.0
Ukraine,0.3008698303331847,0.5283495505273152,0.0651199955890135,0.1010997828039329,0.1990730794324747,0.5710229550612985,-0.41212097010590715,-0.7408598530366298,-0.6853365151618441,0.629865314260281,-0.9302348001491626,0.9248499015901068,49.0,51.0,43.0,15.0,53.0,14.0
Uruguay,0.3433043592180756,0.5550331928691724,0.1372924974209666,0.05514863627702,0.3213112682034528,0.5364163135677276,1.0810062091108177,0.07591745960401115,0.3804270499218724,-0.45269709425313426,0.31703619650849646,0.653486016211393,5.0,27.0,26.0,40.0,24.0,21.0
United States,0.3240631380224835,0.5746871205759556,0.1828198439749321,0.0702418642030558,0.2612052731825759,0.3872379843780391,0.4039728807476768,0.6775175728688538,1.0527244754030287,-0.09711595187007034,-0.2962620294268381,-0.5162782046460148,31.0,16.0,9.0,27.0,39.0,46.0
Uzbekistan,0.3524429260706611,0.5299141531169519,0.1084117866302406,0.1031361915434786,0.4763226851901404,0.531860657742891,1.4025613884719064,-0.692967894279958,-0.046051297276680746,0.6778410388378862,1.8987124836182507,0.6177633799854688,2.0,49.0,35.0,14.0,4.0,22.0
Venezuela,0.3379121381886087,0.5043228402472101,0.0323739495798319,0.0859964519140989,0.1585663865546218,0.4536330532212884,0.8912722356930586,-1.4763093693643063,-1.1688938514226974,0.27404615629655876,-1.3435493600672859,0.004350873290902792,9.0,61.0,60.0,23.0,62.0,37.0
Vietnam,0.3286531944444444,0.5880415927517918,0.0465291666666666,0.1371764814814814,0.4998118788618004,0.5670540090611944,0.5654814017061448,1.0862934721921442,-0.9598652845299285,1.4797957461093654,2.138387091824585,0.8937278810482798,23.0,10.0,52.0,7.0,2.0,15.0
Zimbabwe,0.3281646058269406,0.537060258623969,0.1705456212154671,0.0619656741276576,0.3103793645259979,0.6183447051808357,0.5482896250228275,-0.4742280094812441,0.8714723492509111,-0.2920945963330644,0.20549129771511765,1.2959178070886466,25.0,47.0,13.0,34.0,26.0,6.0
