country,Q179,Q181,Q180,Q191,Q189,score
IRN,1.4598930481283423,1.4966622162883845,2.332437877770316,1.8076152304609217,1.496997998665777,0.0544757919103995
IRQ,2.415833333333333,2.6475,2.735,2.4916666666666667,2.615833333333333,0.1200172222222222
JOR,1.3758333333333332,1.4432387312186978,2.1056160938809723,1.409658617818485,1.5928393005828476,0.0442944737121973
JPN,1.106766917293233,1.387169811320755,1.257336343115124,1.306706857573474,1.266365688487585,0.0199237565881738
KAZ,2.1920583468395463,2.244914564686737,2.946369636963696,2.046511627906977,2.3809121621621623,0.103595818454326
KEN,2.917551020408163,3.1907467532467533,3.545085296506905,3.008203445447088,3.365415986949429,0.1670296896385344
KGZ,1.7077977720651245,1.7452830188679245,2.202749140893471,1.6020671834625324,1.8751076658053405,0.0627845086405851
KOR,2.2144578313253014,2.219277108433735,2.223293172690763,2.16144578313253,2.014457831325301,0.089195537706381
LBN,1.9713563605728728,2.6441666666666666,2.56140350877193,2.0141666666666667,2.0459866220735785,0.0956268317314993
LBY,1.158390410958904,1.2443868739205526,1.4935289042277826,1.3064798598949212,1.699912510936133,0.027717971203906
MAC,2.2583170254403133,2.375614552605703,2.292156862745098,2.3140333660451424,2.2254901960784315,0.098444311483839
MAR,2.515833333333333,2.785833333333333,2.830833333333333,2.8216666666666668,3.2725,0.1385775925925925
MDV,1.2949709864603485,1.2887391722810395,1.393822393822394,1.240115718418515,1.162970106075217,0.0213836863747867
MEX,2.3346797461050204,2.6474694589877834,2.9796747967479678,2.3911781775972143,2.1976878612716764,0.1156378749622048
MMR,1.488740617180984,1.721666666666667,1.6216666666666666,1.438698915763136,1.5337781484570476,0.0429222648503382
MNG,3.2905982905982905,3.427960927960928,3.592796092796093,3.1904761904761907,3.3376068376068377,0.1802493555826889
MYS,3.0997715156131,3.0845392231530844,3.4089870525514088,3.2764661081492763,3.1348057882711347,0.167067445206059
NGA,1.6793522267206478,1.71417004048583,1.7893030794165317,1.854486661277284,1.9449392712550608,0.0597886794235246
NIC,1.66,2.1341666666666668,2.19,1.975,1.5858333333333334,0.0696559259259259
NIR,1.3071748878923768,1.3497757847533631,1.954954954954955,1.6771300448430493,,0.0441783094753946
NLD,1.347145022738757,1.4622592399791776,1.8574327752409945,1.713853904282116,1.282542885973764,0.0405150951405477
NZL,1.3854368932038834,1.3437195715676729,1.7928015564202335,1.6500488758553276,1.1363193768257058,0.0354376891237555
PAK,1.786707882534776,1.6590909090909092,1.967808930425753,1.7217700915564598,1.9394250513347024,0.061567561800706
PER,1.558106169296987,1.7150108774474258,1.8571428571428568,1.6089144500359454,1.4802867383512546,0.0493562713652477
PHL,3.640768588137009,4.216666666666667,4.079298831385643,3.7291666666666665,3.437864887406172,0.2156126880636524
PRI,1.3607878245299911,1.3728661275831089,1.5192479856759176,1.5076233183856502,1.2587287376902416,0.0308237001714674
ROU,1.4716369529983793,1.6215334420880914,2.1082180634662326,1.3863636363636365,1.3897893030794166,0.0459629940461212
RUS,2.272574312955693,2.4256526674233827,3.641216991963261,2.0771412365286444,2.1336009174311927,0.1159956577859246
SGP,1.350175087543772,1.4089089089089089,1.5325325325325323,1.584123814278582,1.3211788211788211,0.0333173756011842
SRB,3.081,3.1761133603238867,3.440320962888666,3.049098196392785,3.1142284569138274,0.1652911762088715
SVK,2.3534844668345927,2.874894336432798,2.609612141652614,2.0109060402684564,1.9864636209813875,0.1058967345137348
THA,1.8331090174966356,1.7671601615074024,1.7483176312247646,1.8957632817753869,1.997983870967742,0.0639150292783334
TJK,2.1908333333333334,2.2558333333333334,2.4225,2.2491666666666665,2.296666666666667,0.0973566666666666
TUN,1.5303408146300914,1.7381546134663342,1.920965058236273,1.487136929460581,1.936046511627907,0.0544239027622222
TUR,1.610648918469218,1.6506677796327212,1.686847599164927,1.9549624687239369,1.8038317367763432,0.0555630201375848
TWN,1.4235486508585449,1.5739983646770237,1.7481602616516765,1.6263286999182338,1.589533932951758,0.0446915599164168
UKR,1.955520254169976,2.465964343598055,3.088356729975227,2.097991967871486,1.991967871485944,0.1010997828039329
URY,1.7704752275025275,1.5942622950819672,2.0376398779247205,1.7838383838383838,1.3939698492462311,0.05514863627702
USA,1.892133956386293,1.7712062256809338,2.110031104199067,2.4061526479750777,1.4143968871595332,0.0702418642030558
UZB,1.9926289926289928,2.068908941755537,3.2844262295081967,2.0385878489326763,2.435177539223782,0.1031361915434786
VEN,1.899159663865546,2.1126050420168068,2.2142857142857144,2.3756302521008403,2.0991596638655463,0.0859964519140989
VNM,2.495,2.8975,2.8325,3.0475,2.8016666666666667,0.1371764814814814
ZWE,1.6795716639209226,1.915156507413509,1.8551440329218107,1.738664468260511,1.9034653465346532,0.0619656741276576
