country,Q3,Q5,Q40,Q41,Q43,Q131,Q142,Q150,Q46,Q49,Q22,Q182,Q209,Q218,Q57,Q58,Q59,Q60,Q61,Q62,Q63
Colombia,0.35710526315789476,-0.4650131578947368,-0.24667434210526312,-0.10402631578947368,0.2239671052631579,0.1573333333333333,-0.20908771929824566,-0.2057236842105264,0.375219298245614,0.35236111111111107,0.25413157894736854,-0.1853625730994152,-0.03552631578947374,-0.27425501432664756,-0.4000526315789474,0.30684210526315786,-0.043228070175438595,0.01273684210526318,-0.23485964912280702,-0.12100000000000004,-0.16982456140350877
Cyprus,0.2667341430499325,-0.3381707317073171,-0.2727471967380224,-0.16621827411167506,0.15321465968586387,0.13430894308943084,0.08470504619758358,-0.13353909465020575,0.23936013400335007,0.1528313253012048,0.0572170301142264,-0.22877777777777775,-0.020082644628099288,-0.1943763676148796,-0.36941666666666656,0.4016750418760469,0.12631292517006804,0.14250169033130491,-0.21895023858214038,-0.1144252873563218,-0.11824901327592391
Czechia,0.32734001112966055,-0.23016301292861155,-0.10969849246231157,-0.03551839464882941,0.009499999999999948,0.10137287663603449,0.1640276601749929,-0.16081856540084377,0.18742729306487696,0.20518888888888895,0.3685468615649184,0.1516114415179836,-0.024607594936708752,-0.15389078498293524,-0.1119395465994963,0.32237259816207187,0.11486238532110098,0.19220923761825268,-0.07523570432357043,-0.028046783625730983,-0.0456462585034014
Germany,0.3120341207349081,-0.27554437737536325,-0.22232450331125822,0.09911067193675883,-0.03635071090047398,0.2479598077763215,0.30014615747289014,-0.06235772357723565,0.25898969975893055,0.29334281753848396,0.5053578463558764,0.30366083445491243,0.3135714285714286,-0.06089673913043468,-0.03562753036437242,0.3905012037644999,0.1295263390880921,0.20808454425363276,-0.08958558558558564,0.030808678500986203,0.03870812243914197
Ecuador,0.32623917295333893,-0.4986494012809802,-0.3376001669449082,-0.23693886097152422,0.08733389402859551,0.15890929326655542,-0.298556209700028,-0.312062028499581,0.39266666666666666,0.2996512706362456,0.21460000000000004,-0.23140650641953853,-0.20444821731748736,-0.3745904436860068,-0.38841121495327097,0.27350027824151363,-0.07468002225932112,-0.04603227601558147,-0.30154274575327206,-0.1887482419127989,-0.22421171171171164
Egypt,0.041516680684048284,-0.4173411371237458,-0.4689933166248956,-0.4433698399326032,0.4962852263023056,0.37694444444444436,-0.16622398123717377,-0.43989048020219046,0.0890658882402001,0.0482493270212568,-0.3944000000000001,,-0.44683261802575114,,-0.37530492898913953,0.4184888888888889,0.20244648318042813,0.24648318042813455,-0.17496644295302008,-0.010440677966101694,-0.19045936395759722
Ethiopia,0.2531321370309951,-0.5516260162601626,-0.46480487804878046,-0.4714239218877136,0.331844499586435,0.12197500679163274,-0.3944534852183346,-0.20371335504886,0.2686178861788618,0.03664496880933003,-0.2281967213114754,-0.4974133754607688,-0.29429772918418834,-0.4242179261862918,-0.3352039151712887,0.40255826558265584,0.17506916192026034,0.06189931972789118,-0.04856987493202825,-0.023524277141298386,-0.16304568527918784
United Kingdom,0.3567388781431335,-0.15479321591650366,-0.13102211016291695,0.16144731763797765,-0.13521314039890497,0.2145730452674897,0.17548717948717954,0.06732171156893811,0.2803352601156069,0.23826437077015333,0.5329002320185614,0.30142215173143,0.37833333333333335,0.23677604593929455,-0.028967666536813486,0.3718826092528515,0.15576933023015258,0.28559620074444875,-0.011965811965811935,0.14059770114942535,0.1464309629034418
Greece,0.3057063093243998,-0.4491511936339523,-0.14132328308207698,-0.18992474916387964,0.1690158172231986,0.030811111111111036,-0.08494764397905767,-0.051841004184100384,0.11214604236343369,0.08937407407407406,0.1910702341137123,-0.09474503025064825,-0.12965459140690816,-0.2097520661157024,-0.365925925925926,0.4128440366972477,0.059034867503486695,0.1650921273031826,-0.23047619047619042,-0.1671436881908087,-0.17031446540880502
Guatemala,0.3432465419039869,-0.40917548142120963,-0.16154190398698126,-0.09961350691619199,0.10321399511798197,0.08753186872796319,-0.3320450230539734,-0.29305280528052796,0.35668836452400327,0.2621688816562697,0.10901545972335225,-0.22809589672660213,-0.08106755629691405,-0.19928033472803347,-0.2817575264442636,0.35395234182415775,-0.016106489184692166,0.08382685414943482,-0.19567686793493244,-0.04921535893155259,-0.10987818383167224
