country,Q3,Q5,Q40,Q41,Q43,Q131,Q142,Q150,Q46,Q49,Q22,Q182,Q209,Q218,Q57,Q58,Q59,Q60,Q61,Q62,Q63,score
IDN,0.7516421645292461,0.9730123997082422,0.6593045112781954,0.698125,0.4775580665411174,0.7939583333333333,0.7650564617314931,0.9580200501253132,0.7901427529436282,0.7285148101793909,0.755,0.0678025155917912,0.1837888784165881,0.1441736028537455,0.0518912160050015,0.879545691361884,0.5495101104857203,0.5,0.1967896602042944,0.3745165673669908,0.2841374960580258,0.5515471566054286
IND,0.6777843954734961,0.8867775138558986,0.84061004784689,0.8253567181926278,0.3662477558348295,0.7685459940652819,0.6152054214315967,0.7571865443425077,0.7392249901146699,0.6893759873617694,0.7238292011019284,0.193655303030303,0.3320767649074708,0.3040723981900453,0.1768585131894484,0.94421446875616,0.6812536960378475,0.679144385026738,0.3704813261433992,0.5209965842877236,0.3884582256675279,0.5943502968980076
IRN,0.7650857270095748,0.9085229808121374,0.7576871657754011,0.5823272971160295,0.1909885675857431,0.7207387627948376,0.487673343605547,0.8503355704697987,0.5934090403028279,0.5778816199376947,,0.0668903803131991,0.3294915254237288,0.4113881401617251,0.1483957219251337,0.9441850122303758,0.6291582942621121,0.67825311942959,0.3284313725490196,0.5315252665739454,0.3356024506466984,0.5160938742345295
IRQ,0.6946074322436435,0.9123539232053424,0.9096410684474124,0.8643459915611814,0.3021276595744681,0.8113522537562604,0.728823359352414,0.9014321819713564,0.5957025728018095,0.385,0.5508333333333333,0.1439787092481703,0.1839622641509434,0.0775862068965517,0.1124361158432708,0.97581317764804,0.7060301507537688,0.7154403567447045,0.3066439522998296,0.4351770558969857,0.3238602723505032,0.5541499065752375
JOR,0.7339449541284404,0.8673867386738674,0.917705735660848,0.8286844296419651,0.352768456375839,0.8971365026410898,0.5097142857142858,0.902928870292887,0.6925215457325549,0.6519811582155722,0.9376558603491272,0.0301255230125523,0.147419072615923,0.0456545654565456,0.1596989966555183,0.9595455804932114,0.6624790619765495,0.6849694952856351,0.343341673616903,0.4746438746438747,0.4313390313390314,0.582459305358201
JPN,0.7873563218390804,0.7292464878671776,0.6525848765432098,0.3395155185465556,0.2673119880863738,0.5260651629072682,0.6413632842757553,0.857915057915058,0.7338872104733132,0.6399331662489557,0.2714828897338402,0.6344645137748586,0.7076796036333608,0.2337443946188341,0.3559718969555034,0.8995502248875562,0.548738379814077,0.659791189202954,0.2891529555149299,0.3163841807909605,0.3675213675213675,0.5456981271976663
KAZ,0.7098472880463402,0.7754081095313323,0.6287029623698959,0.5815433571996818,0.5871212121212122,0.6085302906818799,0.6216867469879518,0.7211221122112211,0.7291494632535095,0.65732663670808,0.7343260188087775,0.1356308523988802,0.1465076660988075,0.1387035271687321,0.2389162561576354,0.9503267973856208,0.6037884767166535,0.6044303797468354,0.2795442501324855,0.4205816554809843,0.4539842873176206,0.5393894450725779
KEN,0.743000528262018,0.9515151515151516,0.7623113582208102,0.7044187898089171,0.4612903225806452,0.6361950185479597,0.8134188719593691,0.7011217948717948,0.7720138334663474,0.5416666666666667,0.751421608448416,0.2229538180155464,0.3641715727502103,0.3201013513513513,0.0958466453674121,0.9175257731958762,0.5688924218335983,0.6123044285335455,0.30402344790834,0.4629032258064516,0.3749664249261348,0.575336335906503
KGZ,0.7253756260434057,0.8027381950265438,0.797489539748954,0.7594300083822296,0.2900340715502555,0.7002801120448179,0.664702581369248,0.6461148648648649,0.878231859883236,0.8203487293637544,0.725,0.0535993740219092,0.1426724137931034,0.0930131004366812,0.1184873949579832,0.9557964970809008,0.687308228730823,0.6359060402684564,0.2981121442659905,0.3592150170648464,0.4339569160997732,0.5518006054760847
KOR,0.7188755020080322,0.7526104417670683,0.6602409638554216,0.594578313253012,0.4542168674698795,0.5710843373493976,0.6270414993306559,0.5710843373493976,0.6436412315930389,0.6363230700580098,0.7959839357429719,0.2480142793395805,0.4112449799196787,0.3132530120481928,0.3293172690763052,0.931726907630522,0.6342704149933065,0.6404283801874164,0.3207496653279786,0.3724230254350736,0.3247657295850067,0.5500892458723784
LBN,0.7819444444444444,0.8736111111111111,0.7729166666666667,0.7452083333333333,0.3722689075630252,0.7108333333333333,0.6063888888888889,0.7368421052631579,0.6766666666666667,0.6314814814814814,0.4766666666666667,0.1487695749440715,0.1877637130801688,0.1103066439522998,0.0991666666666666,0.9361111111111112,0.5680868838763575,0.5504459308807135,0.2960489705063996,0.4315701091519731,0.3690975132718637,0.5277236058504953
LBY,0.6490344248530646,0.9441168211176636,0.893964794635373,0.7879295892707461,0.1974683544303798,0.8285873813512005,0.7194326241134752,0.9106239460370996,0.7537083683179402,0.7698752737313149,0.6262541806020068,0.0130192804611409,0.1851195748449955,0.1024411508282475,0.0926870748299319,0.9706867671691792,0.7030201342281879,0.7208717518860017,0.302723953945521,0.2994836488812392,0.33646188850967,0.562262427811637
MAC,0.7789783889980354,0.6910167818361304,0.6286909448818898,0.5488703339882122,0.6305201177625123,0.7498362802881466,0.3774942754334315,0.8113948919449901,0.6816552623004236,0.6066536203522505,0.436180904522613,0.4731744477092175,0.3246816846229187,0.2925270403146509,0.4380165289256198,0.9159335288367546,0.6238562091503268,0.6748206131767776,0.4106090373280943,0.454158480681074,0.444007858546169,0.5710989157904874
MAR,0.7025,0.9255555555555556,0.724375,0.659375,0.2783333333333333,0.6688888888888889,0.5530555555555555,0.7495784148397976,0.6477777777777778,0.6312962962962962,0.7991666666666667,0.1966666666666666,0.3425,0.33375,0.165,0.8591666666666666,0.5580555555555556,0.5747222222222222,0.3433333333333334,0.3644444444444444,0.3630555555555556,0.5447903301599198
MDV,0.7757400257400258,0.8552546744036106,0.6926427879961278,0.5621974830590513,0.1812439261418853,0.6666666666666667,0.7240038872691934,0.7785299806576402,0.7165861513687601,0.7002035786992392,0.8546679499518768,0.0290087775636908,0.4787234042553191,0.3024271844660194,0.2132424537487828,0.9268527430221368,0.6283043197936815,0.6782385085181615,0.222437762689945,0.2777777777777778,0.3568627450980391,0.553410132804173
MEX,0.8078544061302682,0.8967432950191571,0.7243071593533488,0.6979527104959631,0.4702998846597462,0.5259727812919303,0.8451488952929875,0.7223502304147466,0.8324717595251772,0.7930395913154534,0.2298387096774193,0.3709624366817972,0.27466820542412,0.1472540736270368,0.1029919447640966,0.8814857361669539,0.4984656693517453,0.4561302681992337,0.1969348659003832,0.3422428820453225,0.2738025984099282,0.5281389573212769
MMR,0.6375,0.9094444444444444,0.8689583333333333,0.8277083333333333,0.21875,0.7933333333333333,0.7027777777777777,0.8858333333333334,0.725,0.6888888888888889,0.9133333333333332,0.0801593920859976,0.1331309627059843,,0.1508333333333333,0.9136111111111112,0.6136111111111111,0.6413888888888889,0.4236111111111111,0.2961111111111111,0.2891666666666667,0.5577691174239567
MNG,0.7108262108262109,0.7584452584452585,0.6462148962148961,0.5937118437118437,0.5897435897435898,0.5958358848744642,0.5616605616605617,0.6929181929181929,0.6233211233211233,0.6062271062271062,0.4529914529914529,0.319359652692986,0.6336996336996337,0.3836996336996336,0.2749540722596448,0.8992673992673993,0.6452991452991452,0.6436711436711438,0.3677248677248677,0.3538868538868539,0.3229548229548229,0.5560196831471824
MYS,0.7915714648387916,0.8283828382838284,0.7538080731150039,0.6106245239908606,0.4356435643564357,0.5374460522975375,0.7572988068037574,0.718964204112719,0.676059913683676,0.6654819328086654,0.6039603960396039,0.2882288228822882,0.4512566641279513,0.4185072353389185,0.1957349581111958,0.908098502157908,0.6039603960396039,0.670982482863671,0.2934755013962935,0.4945417618684945,0.3927392739273928,0.576036541383076
NGA,0.8658569500674764,0.9452614379084968,0.8240890688259109,0.7796025952960259,0.4652209492635024,0.6289409862570736,0.7991096271563718,0.7198697068403909,0.7028926736955934,0.5130348795397339,0.8900565885206144,0.0555555555555555,0.2045068027210884,0.176218990590248,0.1268292682926829,0.8233387358184765,0.5678812415654522,0.5533980582524272,0.3203778677462888,0.4305442729488221,0.355537503384782,0.5594344647736674
NIC,0.7683333333333333,0.8877777777777778,0.74125,0.68625,0.2820833333333333,0.6902777777777778,0.7255555555555555,0.6533333333333333,0.7777777777777778,0.7714814814814814,0.3325,0.251574074074074,0.2395833333333333,0.1062562065541211,0.0424999999999999,0.8144444444444444,0.4111111111111111,0.5133333333333333,0.1836111111111111,0.3622222222222223,0.2213888888888888,0.4982211950210956
NIR,0.7925093632958802,0.6433933933933934,0.6387640449438202,0.3626681614349776,0.6175799086757991,0.704868913857678,0.3479960899315738,0.4709976798143852,0.7820224719101123,0.7207274539113104,0.0807174887892376,0.6215037208108801,0.8074324324324325,0.6096698113207547,0.4073226544622426,0.9256756756756755,0.7137518684603887,0.8247191011235955,0.4693877551020408,0.6704805491990846,0.6429663608562691,0.6121502333048346
NLD,0.834919124643197,0.670544783010157,0.5675875678342378,0.348661800486618,0.5761741122565864,0.6973618715778995,0.2531963470319635,0.5419287211740041,0.7203667321545515,0.7063607475628804,0.0233349538162372,0.8923721808950289,0.7199375325351379,0.6059797116924719,0.6120556414219475,0.9289805269186712,0.7510266940451745,0.8580368906455863,0.5567226890756303,0.6621355397951143,0.652014652014652,0.6276047057422737
NZL,0.8097152428810721,0.6725571725571726,0.5626888217522659,0.3811881188118812,0.6168505516549649,0.74273587985635,0.2951101928374655,0.4703389830508475,0.755095332018409,0.7272628726287264,0.075685903500473,0.703102453102453,0.8866080156402737,0.5841487279843445,0.5950248756218905,0.9288716456514712,0.6858198924731183,0.8299186991869919,0.4939716312056738,0.6109090909090908,0.6178955453149002,0.6212142689828494
PAK,0.5804713804713805,0.797079556898288,0.8448840725806451,0.8209201830198272,0.4489588623666836,0.7182980154725866,0.7908430478121304,0.548469387755102,0.7822378324134471,0.7410394265232975,0.4115288220551378,0.0647130647130647,0.2096590909090909,0.1230398069963811,0.2349671551288529,0.9002347417840375,0.6743834927025667,0.7142134547293879,0.3450025367833587,0.3085271317829458,0.2838915470494417,0.5401601242832216
PER,0.6942049808429118,0.8914395026303205,0.7210982658959537,0.6842485549132948,0.3615328994938539,0.3738674296614211,0.7701485269052837,0.8465991316931982,0.723536439665472,0.7371856096784464,0.3555394641564083,0.2050960735171261,0.3324723247232473,0.1616814874696847,0.0530465949820788,0.8694305456278294,0.3679065331425847,0.3984729181579576,0.1604495456719273,0.2961613216715257,0.1994655004859087,0.4858849357612587
PHL,0.5529608006672226,0.9711111111111111,0.7854166666666667,0.6912499999999999,0.6845833333333333,0.6727777777777778,0.8047222222222222,0.6814011676396997,0.8053933833750347,0.7075925925925926,0.1691666666666667,0.3966666666666666,0.25875,0.107471264367816,0.0534670008354218,0.9369444444444444,0.6233333333333333,0.649986099527384,0.3402777777777778,0.4361111111111111,0.3561111111111111,0.5564521205346379
PRI,0.8607895517957851,0.8670829616413916,0.7367949865711727,0.4747542448614834,0.2615864527629233,0.7663995250816267,0.5903903903903904,0.7600716204118174,0.7994652406417112,0.8227371756783521,0.1251109139307896,0.5087453240319482,0.4212421242124212,0.3562206572769952,0.1783154121863799,0.8511269276393831,0.622479240806643,0.6886120996441281,0.2994350282485876,0.5439068100358423,0.5257330939557152,0.5743333229431185
ROU,0.7529880478087649,0.7560521415270018,0.6852445870088212,0.6628697042366107,0.2572734829592684,0.7344086021505376,0.4384279475982533,0.656934306569343,0.6467420570813139,0.6870711930856277,0.564437194127243,0.1491602618844292,0.3144239226033422,0.2171806167400881,0.1187399030694669,0.9140728917265232,0.4619506966773848,0.5564472980203318,0.2412750755702116,0.3661593554162936,0.3425266903914591,0.5011612369643961
RUS,0.7255995538204127,0.6789161098737937,0.6021384355655599,0.537209960384833,0.3920353982300885,0.582302212223472,0.5181016694803977,0.756210283073368,0.6602236119007012,0.6162797895388424,0.656353591160221,0.1782792293481129,0.283420899007589,0.2210365853658537,0.2390934844192634,0.9409048938134812,0.6199289586838661,0.6510416666666667,0.3175319789315275,0.4077017114914425,0.4172252691448304,0.5238826329583011
SGP,0.7196819085487077,0.7113659022931207,0.6643034825870646,0.5008702138239682,0.5049975012493753,0.7638474295190714,0.5623570800351803,0.7883358471593765,0.7134561141529783,0.6650627730767104,0.261431411530815,0.2719651240778001,0.2927318295739348,0.2501256913021619,0.3398398398398398,0.9179946879150066,0.6136590229312064,0.7033715329679455,0.3288423153692614,0.4924940293415216,0.45565749235474,0.5486852966499898
SRB,0.780448717948718,0.7475633528265107,0.6611874386653582,0.6145526057030481,0.3555442522889115,0.6522712731925784,0.6273100616016427,0.443359375,0.651951375559821,0.6337846550612508,0.6263208453410183,0.3172826946987679,0.4509297520661157,0.2535753575357535,0.1661807580174926,0.9450337512054002,0.5980295566502463,0.6814529090324655,0.3463541666666667,0.4807502467917077,0.4794340243501153,0.5482531985811233
SVK,0.7934389769252155,0.6993795826283136,0.6725941422594142,0.6120401337792643,0.5491803278688525,0.6127861529871581,0.3653049141503849,0.6986531986531986,0.5652173913043479,0.6422222222222221,0.412617220801364,0.4343886897650338,0.6320675105485232,0.3683304647160068,0.2159663865546218,0.8938003892132332,0.6658326383097026,0.6683333333333333,0.3778337531486145,0.4645833333333333,0.4231220657276996,0.5603663251538018
THA,0.6539074960127591,0.8122320018054615,0.658477508650519,0.6349095966620306,0.3662832494608196,0.6687384898710866,0.6200716845878136,0.6873315363881402,0.7182061579651942,0.6219249349684132,0.3513333333333334,0.3564534231200898,0.2633868808567604,0.2392712550607287,0.3136842105263158,0.9399198931909212,0.6938866577420795,0.6659964253798034,0.3609427609427609,0.4180143755615454,0.3796671165092218,0.5440304280283714
TJK,0.6058333333333333,0.8105555555555556,0.8922916666666667,0.8133333333333334,0.29625,0.9097222222222222,0.4855555555555555,0.6566666666666666,0.8552777777777778,0.7721296296296296,,,0.1404166666666666,0.0666666666666666,0.2058333333333333,0.9805555555555556,0.6677777777777778,0.5808333333333333,0.1947222222222222,0.1919444444444444,0.2363888888888888,0.4934645061728394
TUN,0.7371475953565505,0.9207011686143572,0.8876241721854304,0.8175787728026533,0.3169717138103162,0.8056478405315615,0.7924133811230586,0.8179508890770534,0.628800442233278,0.5024394734419589,0.5785340314136126,0.045778889815587,0.1538817005545286,0.102820746132848,0.1424914675767917,0.8670552317513184,0.6002214839424143,0.596957123098202,0.3457918050941306,0.3548477228276054,0.3525319977740679,0.5413422690074917
TUR,0.8214384508990318,0.7591514143094842,0.6903708386009271,0.6044223444773593,0.5277894736842106,0.6064697609001406,0.6610196078431373,0.6014339940953184,0.6855006231823847,0.613120813120813,0.7854077253218884,0.1196689707057883,0.2983138780804151,0.2611479028697572,0.1426160337552742,0.9310678270479348,0.6619601328903655,0.5918084959180849,0.3329180509413068,0.3852044502239561,0.376705443056154,0.5455969634249398
TWN,0.7754156445898065,0.8296538566366858,0.6817622950819673,0.5249590834697218,0.2533222591362126,0.8122104115562824,0.6170618697192696,0.8718159408381265,0.7132733714908694,0.6742981738893431,0.4439901880621423,0.3723993822113201,0.3949304987735077,0.2387571545380212,0.3098937040065412,0.9285908967020988,0.633687653311529,0.718179340419733,0.4025620059961843,0.5115835377487055,0.4592532025074952,0.5794095462231221
UKR,0.7173627528237458,0.7092870297290187,0.5371485943775101,0.5256615878107458,0.435626102292769,0.6332005312084994,0.6164529914529915,0.6869918699186992,0.6552183173588925,0.5662798874824191,0.495295124037639,0.192471742375773,0.32842287694974,0.2641002685765443,0.3065286624203821,0.9205228758169934,0.6223446105428796,0.6092767295597484,0.3530864197530864,0.4566167290886392,0.4634448574969022,0.5283495505273152
URY,0.8133874239350913,0.8814589665653495,0.6122967479674797,0.5300808897876643,0.4276111685625646,0.6309285237140949,0.7111801242236024,0.483837330552659,0.7788002726653034,0.7920142364586809,0.049,0.6479060760106512,0.5382599580712788,0.3558758314855875,0.1485943775100401,0.861698556562605,0.55758189800743,0.6686971235194585,0.2760150119413169,0.4352713178294574,0.4552012148823082,0.5550331928691724
USA,0.7566485928221017,0.7150245668476856,0.6396745447500969,0.4376454615981381,0.528272656855151,0.5798167505484579,0.3882627283326856,0.2905882352941176,0.7059505409582689,0.6913580246913581,0.1285420944558521,0.6107628004179728,0.7701283547257877,0.6674630755864466,0.3973714727483571,0.8455692941782587,0.5873323013415893,0.7320920610292216,0.4099587203302374,0.591481625762888,0.5944856288203928,0.5746871205759556
UZB,0.5894962486602358,0.8222400427693131,0.7449104234527688,0.6875,0.6086594504579517,0.8095626188535724,0.6166666666666667,0.5777027027027027,0.8239761323569298,0.6622960372960373,0.2416,,0.3054511278195488,0.2652173913043478,0.3471074380165289,0.936597110754414,0.6001609010458568,0.5243083534783777,0.2713241267262388,0.3276836158192091,0.3657368272752889,0.5299141531169519
VEN,0.7652661064425771,0.8523809523809524,0.7254201680672269,0.6642857142857144,0.21890756302521,0.5459383753501401,0.7092436974789915,0.4983193277310924,0.7095238095238096,0.6685340802987861,0.3159663865546218,0.3534080298786181,0.3210084033613445,0.1865546218487395,0.1420168067226891,0.880672268907563,0.5406162464985995,0.5249299719887957,0.2492997198879553,0.3857142857142857,0.3327731092436975,0.5043228402472101
VNM,0.5861111111111111,0.8802777777777778,0.7583333333333333,0.7077083333333334,0.4287499999999999,0.6855555555555556,0.8173669467787115,0.6758333333333333,0.8158333333333333,0.7806481481481481,0.7608333333333334,0.5158333333333334,0.1416666666666667,0.0663444639718805,0.2766666666666666,0.9775,0.6683333333333333,0.6222222222222222,0.3758333333333333,0.4227777777777778,0.3844444444444445,0.5880415927517918
ZWE,0.7201646090534979,0.9549697968149368,0.8016886326194399,0.7714521452145214,0.2877164056059357,0.6073585941790225,0.829059829059829,0.7159372419488026,0.5120812740252609,0.438952956251144,0.9009983361064892,0.0796662999633296,0.2212499999999999,0.1601899827288428,0.0214168039538714,0.9080175727622186,0.5862923203963666,0.5790052212146195,0.291494632535095,0.4995857497928748,0.3909670268772514,0.537060258623969
