country,Q3,Q5,Q40,Q41,Q43,Q131,Q142,Q150,Q46,Q49,Q22,Q182,Q209,Q218,Q57,Q58,Q59,Q60,Q61,Q62,Q63
Greece,1.7227805695142377,1.3580901856763925,2.5209380234505865,2.3561872909698995,2.2864674868189807,2.421666666666667,2.2840314136125652,1.5439330543933054,2.2148829431438126,6.181666666666667,1.664715719063545,4.764909248055315,2.240101095197978,2.3884297520661155,1.9158249158249159,1.0925771476230193,2.298744769874477,1.9371859296482412,3.2857142857142856,3.0698080279232114,3.0806174957118353
Guatemala,1.627339300244101,1.4597233523189586,2.45240032546786,2.662327095199349,2.1749389747762407,2.277461350691619,1.6558177379983727,1.7483498349834983,1.5931651749389748,7.499593165174939,1.5939788445890968,3.7302904564315353,2.1501251042535445,2.3690376569037657,1.8201790073230268,1.2933442892358258,2.554908485856905,2.214226633581472,3.1670802315963607,2.667779632721202,2.8745847176079735
Hong Kong,1.8376027066215563,1.9078185328185329,2.3708353452438438,2.667953667953668,1.9801548886737657,2.0458052073288333,2.5907335907335907,1.7490328820116054,2.1052631578947367,6.633558341369334,1.7826506024096385,5.129142300194932,2.1349129593810443,2.217438105489774,1.6050338818973862,1.3083976833976834,2.2941747572815534,2.010612638687892,2.8783325254483763,2.5310344827586206,2.548180924287119
Indonesia,1.7450735064122616,1.0809628008752736,2.362781954887218,2.2075,2.044883866917765,1.618125,1.7048306148055208,1.9580200501253133,1.6295717411691153,7.556633291614518,1.245,1.610222640326121,2.6324222431668236,2.711652794292509,1.9481087839949984,1.3613629259143483,2.351469668542839,2.5,3.409631019387117,2.876450297899028,3.1475875118259222
India,1.9666468135795117,1.339667458432304,1.63755980861244,1.6985731272294886,2.2675044883303412,1.6943620178041543,2.15438373570521,1.7571865443425077,1.7823250296559905,7.204383886255924,1.2761707988980717,2.742897727272727,2.335846470185058,2.3918552036199094,1.8231414868105515,1.1673565937315198,1.9562389118864578,1.9625668449197862,2.8885560215698023,2.4370102471368296,2.834625322997416
Iran,1.7047428189712759,1.2744310575635878,1.9692513368983957,2.670690811535882,2.618022864828514,1.8377837116154874,2.536979969183359,1.8503355704697986,2.2197728790915163,6.200934579439252,,1.6020134228187919,2.3410169491525425,2.17722371967655,1.8516042780748663,1.1674449633088726,2.112525117213664,1.96524064171123,3.014705882352941,2.4054242002781643,2.9931926480599045
Iraq,1.9161777032690697,1.2629382303839733,1.3614357262103507,1.5426160337552743,2.3957446808510636,1.5659432387312187,1.813529921942758,1.9014321819713564,2.2128922815945717,4.465,1.4491666666666667,2.295808383233533,2.6320754716981134,2.8448275862068964,1.887563884156729,1.07256046705588,1.8819095477386936,1.8536789297658862,3.0800681431005112,2.694468832309043,3.02841918294849
Jordan,1.798165137614679,1.3978397839783978,1.3291770573566084,1.6852622814321399,2.2944630872483223,1.3085904920767306,2.4708571428571426,1.902928870292887,1.9224353628023352,6.867830423940149,1.0623441396508728,1.2711297071129708,2.705161854768154,2.9086908690869087,1.8403010033444815,1.1213632585203657,2.012562814070352,1.945091514143095,2.969974979149291,2.5760683760683762,2.705982905982906
Japan,1.6379310344827587,1.8122605363984674,2.3896604938271606,3.6419379258137776,2.4653760238272526,2.4218045112781956,2.0759101471727344,1.8579150579150578,1.7983383685800605,6.7593984962406015,1.7285171102661596,6.710180623973727,1.5846407927332782,2.532511210762332,1.6440281030444965,1.3013493253373314,2.353784860557769,2.0206264323911385,3.1325411334552102,3.0508474576271185,2.8974358974358974
Kazakhstan,1.8704581358609795,1.6737756714060033,2.4851881505204165,2.673826571201273,1.8257575757575757,2.1744091279543603,2.1349397590361447,1.721122112211221,1.8125516102394714,6.91593973037272,1.2656739811912225,2.2206776715899217,2.7069846678023852,2.722592945662536,1.7610837438423645,1.1490196078431372,2.1886345698500396,2.1867088607594938,3.161367249602544,2.738255033557047,2.638047138047138
Kenya,1.7709984152139462,1.1454545454545455,1.9507545671167594,2.1823248407643314,2.07741935483871,2.0914149443561207,1.5597433841218926,1.701121794871795,1.6839584996009578,5.875,1.248578391551584,3.0065843621399178,2.2716568544995797,2.3597972972972974,1.904153354632588,1.2474226804123711,2.293322734499205,2.1630867143993635,3.08792965627498,2.611290322580645,2.8751007252215954
Kyrgyzstan,1.823873121869783,1.5917854149203687,1.810041841004184,1.9622799664710813,2.4199318568994888,1.8991596638655461,2.005892255892256,1.646114864864865,1.365304420350292,8.38313856427379,1.275,1.482394366197183,2.714655172413793,2.8139737991266376,1.8815126050420168,1.1326105087572977,1.9380753138075313,2.0922818791946307,3.1056635672020287,2.9223549488054608,2.69812925170068
"Korea, South",1.8433734939759037,1.7421686746987952,2.3590361445783135,2.621686746987952,2.091566265060241,2.2867469879518074,2.118875502008032,1.5710843373493977,2.0690763052208836,6.7269076305220885,1.2040160642570281,3.232128514056225,2.1775100401606426,2.3734939759036147,1.6706827309236947,1.2048192771084338,2.0971887550200803,2.078714859437751,3.0377510040160645,2.882730923694779,3.02570281124498
Lebanon,1.6541666666666666,1.3791666666666667,1.9083333333333334,2.0191666666666666,2.2554621848739496,1.8675,2.180833333333333,1.736842105263158,1.97,6.683333333333334,1.5233333333333334,2.338926174496644,2.6244725738396624,2.7793867120954006,1.9008333333333334,1.1916666666666667,2.2957393483709274,2.3486622073578594,3.1118530884808013,2.7052896725440805,2.892707460184409
Libya,2.052896725440806,1.1676495366470092,1.424140821458508,1.848281642917016,2.6050632911392406,1.5142378559463987,1.8417021276595744,1.9106239460370995,1.7388748950461796,7.928877463581833,1.3737458193979932,1.1171735241502683,2.6297608503100087,2.7951176983435047,1.907312925170068,1.0879396984924623,1.8909395973154361,1.837384744341995,3.091828138163437,3.1015490533562824,2.99061433447099
